Departamentos
Anticrético
"MODERNOS departamentos en anticrético, de 3, 2, 1 dormitorios, La Plata esq. Rodríguez. 73150320, 5244242"
"EN ANTICRÉTICO departamento de 3 dormitorios en el 2do piso, Ref.: Teniente León No. 35 Cap. Ustariz y Menacho Ref.: 5259403, 72479068"
"DEPARTAMENTOS en anticrético, Velasco G. esq. 12 de Octubre. Ref.: 72322222, 5285985"
ANTICRÉTICO departamento amplio confortable. Ref.: 72455089
